3.55E+01,3.52E-01,3.77E+01,1.19E+00
3.61E+01,1.76E-01,3.90E+01,5.69E-01
3.38E+01,1.17E-01,3.34E+01,3.73E-01
3.56E+01,8.77E-02,3.49E+01,2.81E-01
3.84E+01,6.98E-02,3.98E+01,2.23E-01
3.64E+01,5.84E-02,3.86E+01,1.85E-01
3.54E+01,5.01E-02,3.64E+01,1.58E-01
3.83E+01,4.36E-02,4.01E+01,1.37E-01
3.98E+01,3.88E-02,4.22E+01,1.21E-01
4.01E+01,3.47E-02,4.19E+01,1.09E-01
3.72E+01,3.17E-02,3.82E+01,9.85E-02
4.22E+01,2.88E-02,4.33E+01,9.03E-02
4.06E+01,2.67E-02,4.27E+01,8.36E-02
4.27E+01,2.47E-02,4.43E+01,7.58E-02
4.15E+01,2.31E-02,4.28E+01,7.15E-02
3.95E+01,2.17E-02,3.87E+01,6.66E-02
4.16E+01,2.04E-02,4.20E+01,6.27E-02
4.48E+01,1.92E-02,4.43E+01,5.92E-02
4.69E+01,1.80E-02,4.70E+01,5.61E-02
4.52E+01,1.72E-02,4.61E+01,5.30E-02
4.50E+01,1.63E-02,4.47E+01,5.09E-02
4.16E+01,1.56E-02,4.09E+01,4.82E-02
4.48E+01,1.49E-02,4.46E+01,4.56E-02
4.49E+01,1.43E-02,4.73E+01,4.42E-02
4.57E+01,1.37E-02,4.81E+01,4.21E-02
4.64E+01,1.31E-02,4.72E+01,4.06E-02
4.50E+01,1.27E-02,4.54E+01,3.91E-02
4.54E+01,1.22E-02,4.46E+01,3.77E-02
4.23E+01,1.18E-02,4.17E+01,3.61E-02
4.43E+01,1.14E-02,4.52E+01,3.54E-02
4.29E+01,1.11E-02,4.22E+01,3.43E-02
4.69E+01,3.41E-01,4.62E+01,1.30E+00
4.96E+01,1.70E-01,5.20E+01,5.27E-01
4.70E+01,1.14E-01,4.83E+01,3.48E-01
4.76E+01,8.50E-02,4.67E+01,2.61E-01
4.52E+01,6.84E-02,4.51E+01,2.07E-01
4.59E+01,5.69E-02,4.71E+01,1.75E-01
4.45E+01,4.88E-02,4.43E+01,1.51E-01
4.32E+01,4.30E-02,4.38E+01,1.32E-01
4.62E+01,3.79E-02,4.57E+01,1.16E-01
4.59E+01,3.42E-02,4.78E+01,1.04E-01
4.67E+01,3.10E-02,4.63E+01,9.44E-02
4.80E+01,2.84E-02,4.76E+01,8.80E-02
4.61E+01,2.62E-02,4.78E+01,7.99E-02
4.52E+01,2.43E-02,4.71E+01,7.49E-02
4.76E+01,2.26E-02,5.02E+01,6.96E-02
4.91E+01,2.13E-02,4.89E+01,6.52E-02
4.55E+01,2.00E-02,4.77E+01,6.11E-02
4.91E+01,1.88E-02,4.91E+01,5.73E-02
4.65E+01,1.79E-02,4.57E+01,5.44E-02
4.38E+01,1.71E-02,4.49E+01,5.21E-02
4.80E+01,1.62E-02,4.75E+01,4.89E-02
4.64E+01,1.55E-02,4.70E+01,4.74E-02
4.65E+01,1.48E-02,4.67E+01,4.52E-02
4.79E+01,1.41E-02,5.01E+01,4.28E-02
4.75E+01,1.36E-02,4.91E+01,4.17E-02
5.06E+01,1.30E-02,5.01E+01,4.02E-02
4.81E+01,1.26E-02,4.88E+01,3.86E-02
4.83E+01,1.21E-02,5.11E+01,3.69E-02
4.67E+01,1.17E-02,4.67E+01,3.51E-02
4.55E+01,1.14E-02,4.82E+01,3.43E-02
4.72E+01,1.09E-02,4.89E+01,3.36E-02
4.69E+01,3.40E-01,4.92E+01,1.29E+00
4.71E+01,1.69E-01,4.74E+01,5.14E-01
4.82E+01,1.13E-01,4.83E+01,3.41E-01
4.84E+01,8.47E-02,5.00E+01,2.57E-01
4.74E+01,6.77E-02,5.03E+01,2.07E-01
4.75E+01,5.66E-02,4.78E+01,1.74E-01
4.69E+01,4.87E-02,4.60E+01,1.46E-01
4.59E+01,4.25E-02,4.60E+01,1.28E-01
4.41E+01,3.77E-02,4.63E+01,1.14E-01
4.75E+01,3.39E-02,4.72E+01,1.03E-01
4.51E+01,3.08E-02,4.67E+01,9.35E-02
4.84E+01,2.82E-02,4.91E+01,8.50E-02
4.86E+01,2.60E-02,4.86E+01,7.95E-02
4.86E+01,2.41E-02,4.89E+01,7.38E-02
4.56E+01,2.26E-02,4.77E+01,6.83E-02
4.63E+01,2.11E-02,4.72E+01,6.37E-02
4.67E+01,1.99E-02,4.77E+01,5.94E-02
4.72E+01,1.88E-02,4.80E+01,5.69E-02
4.81E+01,1.77E-02,5.10E+01,5.37E-02
4.91E+01,1.67E-02,4.92E+01,5.17E-02
4.63E+01,1.61E-02,4.66E+01,4.96E-02
4.84E+01,1.53E-02,5.12E+01,4.61E-02
4.85E+01,1.47E-02,4.98E+01,4.47E-02
4.81E+01,1.41E-02,4.95E+01,4.26E-02
4.73E+01,1.35E-02,4.75E+01,4.05E-02
4.79E+01,1.29E-02,4.81E+01,3.97E-02
4.90E+01,1.24E-02,5.07E+01,3.81E-02
4.75E+01,1.21E-02,4.70E+01,3.63E-02
4.60E+01,1.17E-02,4.86E+01,3.59E-02
4.74E+01,1.13E-02,4.89E+01,3.46E-02
5.07E+01,1.09E-02,5.21E+01,3.28E-02
4.94E+01,3.36E-01,4.88E+01,1.27E+00
4.60E+01,1.69E-01,4.62E+01,5.04E-01
4.92E+01,1.12E-01,4.89E+01,3.42E-01
4.69E+01,8.43E-02,4.62E+01,2.58E-01
4.77E+01,6.77E-02,4.95E+01,2.04E-01
4.86E+01,5.60E-02,4.99E+01,1.69E-01
4.75E+01,4.85E-02,4.80E+01,1.46E-01
4.79E+01,4.22E-02,5.02E+01,1.28E-01
4.55E+01,3.76E-02,4.82E+01,1.13E-01
4.77E+01,3.37E-02,4.73E+01,1.01E-01
4.92E+01,3.06E-02,5.09E+01,9.35E-02
4.76E+01,2.81E-02,4.94E+01,8.50E-02
5.02E+01,2.58E-02,5.24E+01,7.75E-02
4.91E+01,2.40E-02,5.08E+01,7.26E-02
4.93E+01,2.25E-02,4.89E+01,6.85E-02
4.84E+01,2.11E-02,4.88E+01,6.30E-02
5.02E+01,1.98E-02,5.03E+01,5.96E-02
4.92E+01,1.86E-02,4.94E+01,5.69E-02
5.16E+01,1.76E-02,5.28E+01,5.35E-02
4.75E+01,1.69E-02,4.76E+01,5.06E-02
4.76E+01,1.61E-02,4.82E+01,4.92E-02
5.16E+01,1.52E-02,5.43E+01,4.71E-02
4.85E+01,1.46E-02,4.83E+01,4.41E-02
4.89E+01,1.40E-02,4.95E+01,4.23E-02
4.90E+01,1.35E-02,4.91E+01,4.02E-02
4.62E+01,1.30E-02,4.67E+01,3.91E-02
4.96E+01,1.24E-02,5.22E+01,3.77E-02
4.90E+01,1.20E-02,5.07E+01,3.59E-02
4.87E+01,1.16E-02,4.89E+01,3.50E-02
4.97E+01,1.12E-02,5.22E+01,3.42E-02
4.86E+01,1.08E-02,5.01E+01,3.26E-02
4.70E+01,3.37E-01,4.75E+01,1.27E+00
4.99E+01,1.68E-01,5.11E+01,5.08E-01
4.97E+01,1.12E-01,5.27E+01,3.39E-01
4.98E+01,8.41E-02,4.91E+01,2.55E-01
4.81E+01,6.72E-02,4.99E+01,2.04E-01
4.96E+01,5.61E-02,5.04E+01,1.70E-01
5.11E+01,4.80E-02,5.15E+01,1.46E-01
4.93E+01,4.21E-02,5.10E+01,1.26E-01
4.76E+01,3.73E-02,4.93E+01,1.13E-01
4.69E+01,3.38E-02,4.93E+01,1.01E-01
5.10E+01,3.04E-02,5.13E+01,9.27E-02
4.81E+01,2.80E-02,5.05E+01,8.27E-02
5.05E+01,2.57E-02,5.29E+01,7.80E-02
4.66E+01,2.41E-02,4.66E+01,7.26E-02
4.81E+01,2.24E-02,4.99E+01,6.81E-02
5.07E+01,2.09E-02,5.20E+01,6.30E-02
4.76E+01,1.97E-02,5.05E+01,5.88E-02
4.90E+01,1.87E-02,4.99E+01,5.64E-02
5.27E+01,1.76E-02,5.34E+01,5.37E-02
4.96E+01,1.68E-02,5.21E+01,5.07E-02
4.94E+01,1.60E-02,5.05E+01,4.82E-02
4.81E+01,1.53E-02,4.91E+01,4.60E-02
5.00E+01,1.46E-02,5.27E+01,4.44E-02
4.91E+01,1.40E-02,5.16E+01,4.23E-02
4.91E+01,1.35E-02,5.09E+01,4.00E-02
5.05E+01,1.29E-02,5.28E+01,3.89E-02
4.78E+01,1.24E-02,4.69E+01,3.74E-02
4.77E+01,1.20E-02,4.91E+01,3.59E-02
4.83E+01,1.16E-02,4.84E+01,3.51E-02
4.96E+01,1.11E-02,4.93E+01,3.38E-02
4.89E+01,1.09E-02,5.07E+01,3.28E-02